module,type,name,res_id,src,value,comments
account,model,"ir.model.fields,field_description",account.field_account_financial_report_account_type_ids,Account Types,,
account,model,"ir.model.fields,field_description",account.field_account_journal_type_control_ids,Account Types Allowed,,
account,model,"ir.model,name",account.model_account_unreconcile,Account Unreconcile,,
account,model,"ir.model,name",account.model_account_move_line_reconcile,Account move line reconcile,,
account,model,"ir.model,name",account.model_account_move_line_reconcile_writeoff,Account move line reconcile (writeoff),,
account,model,"ir.model,name",account.model_account_move_reversal,Account move reversal,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_account_src_id,Account on Product,,
account,model,"ir.model.fields,field_description",account.field_account_account_template_tag_ids,Account tag,,
account,model,"ir.model.fields,field_description",account.field_account_tax_template_tag_ids,Account tag,,
account,model,"ir.model.fields,help",account.field_account_tax_account_id,Account that will be set on invoice tax lines for invoices. Leave empty to use the expense account.,,
account,model,"ir.model.fields,help",account.field_account_tax_template_account_id,Account that will be set on invoice tax lines for invoices. Leave empty to use the expense account.,,
account,model,"ir.model.fields,help",account.field_account_tax_refund_account_id,Account that will be set on invoice tax lines for refunds. Leave empty to use the expense account.,,
account,model,"ir.model.fields,help",account.field_account_tax_template_refund_account_id,Account that will be set on invoice tax lines for refunds. Leave empty to use the expense account.,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_account_dest_id,Account to Use Instead,,
